,value,Open,High,Low,Close,Adj Close,Volume,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,ATR,predictions,Signal
2022-12-29,28,16552.322265625,16651.755859375,16508.68359375,16642.341796875,16642.341796875,14472237479,28,27,28,29,29,16552.572265625,16717.173828125,16919.8046875,16841.986328125,16847.755859375,270.07589285714283,18276.572,1
2022-12-30,28,16641.330078125,16643.427734375,16408.474609375,16602.5859375,16602.5859375,15929162910,28,28,27,28,29,16642.341796875,16552.572265625,16717.173828125,16919.8046875,16841.986328125,221.08510044642858,18271.17,1
2022-12-31,25,16603.673828125,16628.986328125,16517.51953125,16547.49609375,16547.49609375,11239186456,28,28,28,27,28,16602.5859375,16642.341796875,16552.572265625,16717.173828125,16919.8046875,215.72126116071428,18171.213,1
2023-01-01,26,16547.9140625,16630.439453125,16521.234375,16625.080078125,16625.080078125,9244361700,25,28,28,28,27,16547.49609375,16602.5859375,16642.341796875,16552.572265625,16717.173828125,215.1240234375,18156.953,1
2023-01-02,27,16625.509765625,16759.34375,16572.228515625,16688.470703125,16688.470703125,12097775227,26,25,28,28,28,16625.080078125,16547.49609375,16602.5859375,16642.341796875,16552.572265625,199.24720982142858,18266.379,1
2023-01-03,26,16688.84765625,16760.447265625,16622.37109375,16679.857421875,16679.857421875,13903079207,27,26,25,28,28,16688.470703125,16625.080078125,16547.49609375,16602.5859375,16642.341796875,167.31570870535714,18350.877,1
2023-01-04,29,16680.205078125,16964.5859375,16667.763671875,16863.23828125,16863.23828125,18421743322,26,27,26,25,28,16679.857421875,16688.470703125,16625.080078125,16547.49609375,16602.5859375,177.02525111607142,18548.246,1
2023-01-05,29,16863.47265625,16884.021484375,16790.283203125,16836.736328125,16836.736328125,13692758566,29,26,27,26,25,16863.23828125,16679.857421875,16688.470703125,16625.080078125,16547.49609375,164.13044084821428,18514.059,1
2023-01-06,26,16836.47265625,16991.994140625,16716.421875,16951.96875,16951.96875,14413662913,29,29,26,27,26,16836.736328125,16863.23828125,16679.857421875,16688.470703125,16625.080078125,175.90276227678572,18598.576,1
2023-01-07,25,16952.1171875,16975.017578125,16914.19140625,16955.078125,16955.078125,7714767174,26,29,29,26,27,16951.96875,16836.736328125,16863.23828125,16679.857421875,16688.470703125,175.16350446428572,18539.645,1
2023-01-08,25,16954.146484375,17091.14453125,16924.05078125,17091.14453125,17091.14453125,9768827914,25,26,29,29,26,16955.078125,16951.96875,16836.736328125,16863.23828125,16679.857421875,179.57728794642858,18654.197,1
2023-01-09,25,17093.9921875,17389.95703125,17093.9921875,17196.5546875,17196.5546875,18624736866,25,25,26,29,29,17091.14453125,16955.078125,16951.96875,16836.736328125,16863.23828125,193.22433035714286,18977.445,1
2023-01-10,26,17192.94921875,17484.720703125,17162.990234375,17446.29296875,17446.29296875,15808338949,25,25,25,26,29,17196.5546875,17091.14453125,16955.078125,16951.96875,16836.736328125,193.50697544642858,19154.453,1
2023-01-11,26,17446.359375,17934.896484375,17337.994140625,17934.896484375,17934.896484375,18372283782,26,25,25,25,26,17446.29296875,17196.5546875,17091.14453125,16955.078125,16951.96875,216.81333705357142,19609.332,1
2023-01-12,30,18117.59375,19030.087890625,17995.203125,18869.587890625,18869.587890625,34971338710,26,26,25,25,25,17934.896484375,17446.29296875,17196.5546875,17091.14453125,16955.078125,284.8218470982143,20795.506,1
2023-01-13,31,18868.90625,19964.322265625,18753.1640625,19909.57421875,19909.57421875,29225029694,30,26,26,25,25,18869.587890625,17934.896484375,17446.29296875,17196.5546875,17091.14453125,354.55078125,21724.47,1
2023-01-14,46,19910.537109375,21075.142578125,19907.828125,20976.298828125,20976.298828125,38967784639,31,30,26,26,25,19909.57421875,18869.587890625,17934.896484375,17446.29296875,17196.5546875,429.96847098214283,23206.486,1
2023-01-15,52,20977.484375,20993.748046875,20606.986328125,20880.798828125,20880.798828125,19298407543,46,31,30,26,26,20976.298828125,19909.57421875,18869.587890625,17934.896484375,17446.29296875,449.7939453125,23306.098,1
2023-01-16,45,20882.224609375,21360.875,20715.74609375,21169.6328125,21169.6328125,26792494050,52,46,31,30,26,20880.798828125,20976.298828125,19909.57421875,18869.587890625,17934.896484375,482.5092075892857,23553.676,1
2023-01-17,51,21175.833984375,21438.66015625,20978.533203125,21161.51953125,21161.51953125,24999983362,45,52,46,31,30,21169.6328125,20880.798828125,20976.298828125,19909.57421875,18869.587890625,505.51283482142856,23343.23,1
2023-01-18,52,21161.05078125,21564.501953125,20541.544921875,20688.78125,20688.78125,30005625418,51,45,52,46,31,21161.51953125,21169.6328125,20880.798828125,20976.298828125,19909.57421875,557.3796037946429,23322.13,1
2023-01-19,45,20686.74609375,21163.01171875,20685.380859375,21086.79296875,21086.79296875,21152848261,52,51,45,52,46,20688.78125,21161.51953125,21169.6328125,20880.798828125,20976.298828125,584.8005022321429,23080.488,1
2023-01-20,51,21085.373046875,22692.357421875,20919.126953125,22676.552734375,22676.552734375,28799154319,45,52,51,45,52,21086.79296875,20688.78125,21161.51953125,21169.6328125,20880.798828125,691.7760881696429,24076.871,1
2023-01-21,53,22677.427734375,23282.34765625,22511.833984375,22777.625,22777.625,32442278429,51,45,52,51,45,22676.552734375,21086.79296875,20688.78125,21161.51953125,21169.6328125,742.4680524553571,24989.594,1
2023-01-22,53,22777.986328125,23056.73046875,22387.900390625,22720.416015625,22720.416015625,24746386230,53,51,45,52,51,22777.625,22676.552734375,21086.79296875,20688.78125,21161.51953125,778.3063616071429,24854.246,1
2023-01-23,50,22721.087890625,23126.486328125,22654.3046875,22934.431640625,22934.431640625,26518700512,53,53,51,45,52,22720.416015625,22777.625,22676.552734375,21086.79296875,20688.78125,790.6898716517857,24935.531,1
2023-01-24,52,22929.626953125,23134.01171875,22549.744140625,22636.46875,22636.46875,26405069715,50,53,53,51,45,22934.431640625,22720.416015625,22777.625,22676.552734375,21086.79296875,809.4425223214286,24880.648,1
2023-01-25,51,22639.267578125,23722.099609375,22406.076171875,23117.859375,23117.859375,30685366709,52,50,53,53,51,22636.46875,22934.431640625,22720.416015625,22777.625,22676.552734375,860.8083147321429,25227.004,1
2023-01-26,54,23108.955078125,23237.078125,22911.373046875,23032.77734375,23032.77734375,26357839322,51,52,50,53,53,23117.859375,22636.46875,22934.431640625,22720.416015625,22777.625,805.8450055803571,25235.95,1
2023-01-27,55,23030.716796875,23417.720703125,22654.59375,23078.728515625,23078.728515625,25383335641,54,51,52,50,53,23032.77734375,23117.859375,22636.46875,22934.431640625,22720.416015625,773.8427734375,25235.697,1
2023-01-28,52,23079.96484375,23165.896484375,22908.845703125,23031.08984375,23031.08984375,14712928379,55,54,51,52,50,23078.728515625,23032.77734375,23117.859375,22636.46875,22934.431640625,708.8239397321429,25001.184,1
2023-01-29,55,23031.44921875,23919.890625,22985.0703125,23774.56640625,23774.56640625,27423687259,52,55,54,51,52,23031.08984375,23078.728515625,23032.77734375,23117.859375,22636.46875,747.9709821428571,25620.3,1
2023-01-30,61,23774.6484375,23789.34765625,22657.58203125,22840.138671875,22840.138671875,27205595568,55,52,55,54,51,23774.56640625,23031.08984375,23078.728515625,23032.77734375,23117.859375,782.7307477678571,25353.838,1
2023-01-31,51,22840.796875,23225.021484375,22765.568359375,23139.283203125,23139.283203125,22837828665,61,55,52,55,54,22840.138671875,23774.56640625,23031.08984375,23078.728515625,23032.77734375,782.6826171875,25165.535,1
2023-02-01,56,23137.8359375,23764.5390625,22877.75,23723.76953125,23723.76953125,26683255504,51,61,55,52,55,23139.283203125,22840.138671875,23774.56640625,23031.08984375,23078.728515625,772.9563337053571,25466.25,1
2023-02-02,60,23720.82421875,24167.2109375,23468.595703125,23471.87109375,23471.87109375,32066936882,56,51,61,55,52,23723.76953125,23139.283203125,22840.138671875,23774.56640625,23031.08984375,788.7409319196429,25853.096,1
2023-02-03,60,23469.412109375,23678.103515625,23279.955078125,23449.322265625,23449.322265625,27083066007,60,56,51,61,55,23471.87109375,23723.76953125,23139.283203125,22840.138671875,23774.56640625,690.5207868303571,25677.965,1
2023-02-04,58,23446.3203125,23556.94921875,23291.794921875,23331.84765625,23331.84765625,15639298538,60,60,56,51,61,23449.322265625,23471.87109375,23723.76953125,23139.283203125,22840.138671875,654.4236886160714,25241.266,1
2023-02-05,58,23332.248046875,23423.435546875,22841.759765625,22955.666015625,22955.666015625,19564262605,58,60,60,56,51,23331.84765625,23449.322265625,23471.87109375,23723.76953125,23139.283203125,648.1983816964286,25000.691,1
2023-02-06,56,22954.021484375,23119.279296875,22692.025390625,22760.109375,22760.109375,23825006542,58,58,60,60,56,22955.666015625,23331.84765625,23449.322265625,23471.87109375,23723.76953125,644.9892578125,24827.602,1
2023-02-07,54,22757.267578125,23310.974609375,22756.2578125,23264.291015625,23264.291015625,27187964471,56,58,58,60,60,22760.109375,22955.666015625,23331.84765625,23449.322265625,23471.87109375,642.8784877232143,25081.436,1
2023-02-08,58,23263.416015625,23367.958984375,22731.09765625,22939.3984375,22939.3984375,25371367758,54,56,58,58,60,23264.291015625,22760.109375,22955.666015625,23331.84765625,23449.322265625,594.3669084821429,25021.41,1
2023-02-09,55,22946.56640625,22996.4375,21773.974609375,21819.0390625,21819.0390625,32572572185,58,54,56,58,58,22939.3984375,23264.291015625,22760.109375,22955.666015625,23331.84765625,658.4210379464286,24491.191,1
2023-02-10,48,21819.005859375,21941.185546875,21539.392578125,21651.18359375,21651.18359375,27078406594,55,58,54,56,58,21819.0390625,22939.3984375,23264.291015625,22760.109375,22955.666015625,632.6114676339286,23853.863,1
2023-02-11,49,21651.841796875,21891.41015625,21618.44921875,21870.875,21870.875,16356226232,48,55,58,54,56,21651.18359375,21819.0390625,22939.3984375,23264.291015625,22760.109375,633.7479073660714,23620.633,1
2023-02-12,50,21870.90234375,22060.994140625,21682.828125,21788.203125,21788.203125,17821046406,49,48,55,58,54,21870.875,21651.18359375,21819.0390625,22939.3984375,23264.291015625,593.9868861607143,23788.098,1
2023-02-13,48,21787.0,21898.4140625,21460.087890625,21808.1015625,21808.1015625,23918742607,50,49,48,55,58,21788.203125,21870.875,21651.18359375,21819.0390625,22939.3984375,544.4554966517857,23896.615,1
2023-02-14,50,21801.822265625,22293.140625,21632.39453125,22220.8046875,22220.8046875,26792596581,48,50,49,48,55,21808.1015625,21788.203125,21870.875,21651.18359375,21819.0390625,558.8335658482143,24196.34,1
2023-02-15,53,22220.5859375,24307.841796875,22082.76953125,24307.841796875,24307.841796875,32483312909,50,48,50,49,48,22220.8046875,21808.1015625,21788.203125,21870.875,21651.18359375,654.4252232142857,25709.395,1
2023-02-16,62,24307.349609375,25134.1171875,23602.5234375,23623.474609375,23623.474609375,39316664596,53,50,48,50,49,24307.841796875,22220.8046875,21808.1015625,21788.203125,21870.875,713.9236886160714,26428.322,1
2023-02-17,61,23621.283203125,24924.041015625,23460.755859375,24565.6015625,24565.6015625,41358451255,62,53,50,48,50,23623.474609375,24307.841796875,22220.8046875,21808.1015625,21788.203125,790.0048828125,26790.232,1
2023-02-18,60,24565.296875,24798.8359375,24468.373046875,24641.27734375,24641.27734375,19625427158,61,62,53,50,48,24565.6015625,23623.474609375,24307.841796875,22220.8046875,21808.1015625,794.6697823660714,26521.379,1
2023-02-19,60,24640.02734375,25093.0546875,24327.642578125,24327.642578125,24327.642578125,25555105670,60,61,62,53,50,24641.27734375,24565.6015625,23623.474609375,24307.841796875,22220.8046875,807.7938058035714,26484.3,1
2023-02-20,58,24336.623046875,25020.458984375,23927.91015625,24829.1484375,24829.1484375,28987376573,60,60,61,62,53,24327.642578125,24641.27734375,24565.6015625,23623.474609375,24307.841796875,855.3148716517857,26664.533,1
2023-02-21,60,24833.048828125,25126.8515625,24200.36328125,24436.353515625,24436.353515625,31252098714,58,60,60,61,62,24829.1484375,24327.642578125,24641.27734375,24565.6015625,23623.474609375,881.8699776785714,26666.531,1
2023-02-22,59,24437.41796875,24472.33984375,23644.318359375,24188.84375,24188.84375,30199996781,60,58,60,60,61,24436.353515625,24829.1484375,24327.642578125,24641.27734375,24565.6015625,895.5242745535714,26359.602,1
2023-02-23,56,24190.71875,24572.08984375,23693.919921875,23947.4921875,23947.4921875,30476264066,59,60,58,60,60,24188.84375,24436.353515625,24829.1484375,24327.642578125,24641.27734375,870.9319196428571,26213.543,1
2023-02-24,53,23946.0078125,24103.705078125,23007.072265625,23198.126953125,23198.126953125,26811744928,56,59,60,58,60,23947.4921875,24188.84375,24436.353515625,24829.1484375,24327.642578125,920.5633370535714,25538.338,1
2023-02-25,52,23200.125,23210.2109375,22861.55859375,23175.375,23175.375,16100721565,53,56,59,60,58,23198.126953125,23947.4921875,24188.84375,24436.353515625,24829.1484375,925.9698660714286,25048.336,1
2023-02-26,51,23174.150390625,23654.3671875,23084.220703125,23561.212890625,23561.212890625,16644534842,52,53,56,59,60,23175.375,23198.126953125,23947.4921875,24188.84375,24436.353515625,939.6827566964286,25332.25,1
2023-02-27,50,23561.451171875,23857.890625,23205.87890625,23522.87109375,23522.87109375,22660763494,51,52,53,56,59,23561.212890625,23175.375,23198.126953125,23947.4921875,24188.84375,954.9460100446429,25588.508,1
2023-02-28,53,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23147.353515625,20535363434,50,51,52,53,56,23522.87109375,23561.212890625,23175.375,23198.126953125,23947.4921875,944.0166015625,25370.521,1
2023-03-01,50,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23646.55078125,24662841200,53,50,51,52,53,23147.353515625,23522.87109375,23561.212890625,23175.375,23198.126953125,841.6547154017857,25673.074,1
2023-03-02,51,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23475.466796875,20386398516,50,53,50,51,52,23646.55078125,23147.353515625,23522.87109375,23561.212890625,23175.375,767.5492466517857,25596.625,1
2023-03-03,50,23476.6328125,23479.34765625,22213.23828125,22362.6796875,22362.6796875,26062404610,51,50,53,50,51,23475.466796875,23646.55078125,23147.353515625,23522.87109375,23561.212890625,753.4652622767857,24997.098,1
2023-03-04,50,22362.923828125,22405.177734375,22198.98046875,22353.349609375,22353.349609375,11166012913,50,51,50,53,50,22362.6796875,23475.466796875,23646.55078125,23147.353515625,23522.87109375,744.5891462053571,24382.541,1
2023-03-05,47,22354.14453125,22613.685546875,22307.142578125,22435.513671875,22435.513671875,13317001733,50,50,51,50,53,22353.349609375,22362.6796875,23475.466796875,23646.55078125,23147.353515625,711.8127790178571,24425.906,1
2023-03-06,48,22436.81640625,22584.29296875,22331.314453125,22429.7578125,22429.7578125,17353192895,47,50,50,51,50,22435.513671875,22353.349609375,22362.6796875,23475.466796875,23646.55078125,651.8434709821429,24511.523,1
2023-03-07,49,22428.322265625,22527.41796875,22011.26171875,22219.76953125,22219.76953125,22765452204,48,47,50,50,51,22429.7578125,22435.513671875,22353.349609375,22362.6796875,23475.466796875,622.5340401785714,24453.75,1
2023-03-08,50,22216.44140625,22268.896484375,21708.05078125,21718.080078125,21718.080078125,22536575684,49,48,47,50,50,22219.76953125,22429.7578125,22435.513671875,22353.349609375,22362.6796875,603.4500558035714,24157.367,1
2023-03-09,44,21720.080078125,21802.716796875,20210.306640625,20363.021484375,20363.021484375,30364664171,50,49,48,47,50,21718.080078125,22219.76953125,22429.7578125,22435.513671875,22353.349609375,654.4672154017857,23287.117,1
2023-03-10,34,20367.001953125,20370.595703125,19628.25390625,20187.244140625,20187.244140625,39578257695,44,50,49,48,47,20363.021484375,21718.080078125,22219.76953125,22429.7578125,22435.513671875,629.1607142857143,22748.824,1
2023-03-11,33,20187.876953125,20792.525390625,20068.66015625,20632.41015625,20632.41015625,30180288176,34,44,50,49,48,20187.244140625,20363.021484375,21718.080078125,22219.76953125,22429.7578125,655.9616350446429,22722.717,1
2023-03-12,33,20628.029296875,22185.03125,20448.806640625,22163.94921875,22163.94921875,29279035521,33,34,44,50,49,20632.41015625,20187.244140625,20363.021484375,21718.080078125,22219.76953125,739.2529296875,23804.957,1
2023-03-13,49,22156.40625,24550.837890625,21918.19921875,24197.533203125,24197.533203125,49466362688,33,33,34,44,50,22163.94921875,20632.41015625,20187.244140625,20363.021484375,21718.080078125,880.7262834821429,25883.0,1
2023-03-14,56,24201.765625,26514.716796875,24081.18359375,24746.07421875,24746.07421875,54622230164,49,33,33,34,44,24197.533203125,22163.94921875,20632.41015625,20187.244140625,20363.021484375,1018.2833426339286,27280.805,1
2023-03-15,50,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24375.9609375,43655701450,56,49,33,33,34,24746.07421875,24197.533203125,22163.94921875,20632.41015625,20187.244140625,1052.833286830357,26962.799,1
2023-03-16,52,24373.45703125,25190.326171875,24225.111328125,25052.7890625,25052.7890625,33866061747,50,56,49,33,33,24375.9609375,24746.07421875,24197.533203125,22163.94921875,20632.41015625,1086.483119419643,26967.602,1
2023-03-17,51,25055.123046875,27787.8125,24955.169921875,27423.9296875,27423.9296875,50730261335,52,50,56,49,33,25052.7890625,24375.9609375,24746.07421875,24197.533203125,22163.94921875,1198.3783482142858,28888.973,1
2023-03-18,64,27448.1171875,27725.953125,26636.26171875,26965.87890625,26965.87890625,35723036817,51,52,50,56,49,27423.9296875,25052.7890625,24375.9609375,24746.07421875,24197.533203125,1261.485072544643,29257.996,1
2023-03-19,63,26969.50390625,28440.560546875,26907.716796875,28038.67578125,28038.67578125,37769448859,64,51,52,50,56,26965.87890625,27423.9296875,25052.7890625,24375.9609375,24746.07421875,1349.0779854910713,29790.39,1
2023-03-20,66,28041.6015625,28527.724609375,27242.880859375,27767.236328125,27767.236328125,44774027664,63,64,51,52,50,28038.67578125,26965.87890625,27423.9296875,25052.7890625,24375.9609375,1422.7826450892858,30202.004,1
2023-03-21,68,27768.392578125,28439.5625,27439.646484375,28175.81640625,28175.81640625,36102192830,66,63,64,51,52,27767.236328125,28038.67578125,26965.87890625,27423.9296875,25052.7890625,1457.3369140625,30216.242,1
2023-03-22,62,28158.720703125,28803.3359375,26759.99609375,27307.4375,27307.4375,33382021890,68,66,63,64,51,28175.81640625,27767.236328125,28038.67578125,26965.87890625,27423.9296875,1563.2293526785713,29825.316,1
2023-03-23,57,27301.95703125,28729.84375,27183.36328125,28333.97265625,28333.97265625,24220433689,62,68,66,63,64,27307.4375,28175.81640625,27767.236328125,28038.67578125,26965.87890625,1559.9486607142858,29797.477,1
2023-03-24,61,28324.111328125,28388.4375,27039.265625,27493.28515625,27493.28515625,25980310960,57,62,68,66,63,28333.97265625,27307.4375,28175.81640625,27767.236328125,28038.67578125,1603.293666294643,29600.062,1
2023-03-25,64,27487.337890625,27791.826171875,27196.234375,27494.70703125,27494.70703125,13383005987,61,57,62,68,66,27493.28515625,28333.97265625,27307.4375,28175.81640625,27767.236328125,1594.1312779017858,29425.352,1
2023-03-26,64,27495.5234375,28178.14453125,27445.046875,27994.330078125,27994.330078125,13878363192,64,61,57,62,68,27494.70703125,27493.28515625,28333.97265625,27307.4375,28175.81640625,1522.4793526785713,29693.883,1
2023-03-27,64,27994.068359375,28037.92578125,26606.689453125,27139.888671875,27139.888671875,18188895178,64,64,61,57,62,27994.330078125,27494.70703125,27493.28515625,28333.97265625,27307.4375,1436.6648995535713,29341.941,1
2023-03-28,59,27132.888671875,27460.71875,26677.818359375,27268.130859375,27268.130859375,17783600385,64,64,64,61,57,27139.888671875,27994.330078125,27494.70703125,27493.28515625,28333.97265625,1318.7625558035713,29106.207,1
2023-03-29,57,27267.03125,28619.54296875,27259.662109375,28348.44140625,28348.44140625,20684945906,59,64,64,64,61,27268.130859375,27139.888671875,27994.330078125,27494.70703125,27493.28515625,1324.775111607143,29705.066,1
2023-03-30,60,28350.140625,29159.90234375,27720.16015625,28033.5625,28033.5625,22435349951,57,59,64,64,64,28348.44140625,27268.130859375,27139.888671875,27994.330078125,27494.70703125,1358.669921875,29947.996,1
2023-03-31,63,28032.26171875,28639.896484375,27583.71484375,28478.484375,28478.484375,19001327598,60,57,59,64,64,28033.5625,28348.44140625,27268.130859375,27139.888671875,27994.330078125,1231.7798549107142,30081.059,1
2023-04-01,61,28473.33203125,28802.45703125,28297.171875,28411.03515625,28411.03515625,10876469901,63,60,57,59,64,28478.484375,28033.5625,28348.44140625,27268.130859375,27139.888671875,1190.0365513392858,30132.578,1
2023-04-02,63,28462.845703125,28518.958984375,27884.087890625,28199.30859375,28199.30859375,12284641999,61,63,60,57,59,28411.03515625,28478.484375,28033.5625,28348.44140625,27268.130859375,1125.8956473214287,30022.477,1
2023-04-03,63,28183.080078125,28475.623046875,27276.720703125,27790.220703125,27790.220703125,19556501327,63,61,63,60,57,28199.30859375,28411.03515625,28478.484375,28033.5625,28348.44140625,1119.7569754464287,29830.402,1
2023-04-04,62,27795.2734375,28433.7421875,27681.3046875,28168.08984375,28168.08984375,15284538859,63,63,61,63,60,27790.220703125,28199.30859375,28411.03515625,28478.484375,28033.5625,1102.0799386160713,29917.793,1
2023-04-05,62,28169.7265625,28739.23828125,27843.763671875,28177.984375,28177.984375,17052315986,62,63,63,61,63,28168.08984375,27790.220703125,28199.30859375,28411.03515625,28478.484375,1020.0895647321429,29996.422,1
2023-04-06,63,28175.2265625,28178.384765625,27738.759765625,28044.140625,28044.140625,13837809380,62,62,63,63,61,28177.984375,28168.08984375,27790.220703125,28199.30859375,28411.03515625,941.0284598214286,29852.746,1
